"TYXP054.Code.or.Value","TYXP054.Value.Description","TYXP054.Count","TYXP054.Cumulative","TYXP054.Skip.to.Item"
"-123 to 150","Range of Values",8468,8468,NA
".","Missing",1,8469,NA
