"WBXP084.Code.or.Value","WBXP084.Value.Description","WBXP084.Count","WBXP084.Cumulative","WBXP084.Skip.to.Item"
"-177.8537 to 169.2826","Range of Values",8551,8551,NA
".","Missing",3,8554,NA
