"LBXBCD.Code.or.Value","LBXBCD.Value.Description","LBXBCD.Count","LBXBCD.Cumulative","LBXBCD.Skip.to.Item"
"0.11 to 9.3","Range of Values",7920,7920,NA
".","Missing",1036,8956,NA
