"LBXHXCLA.Code.or.Value","LBXHXCLA.Value.Description","LBXHXCLA.Count","LBXHXCLA.Cumulative","LBXHXCLA.Skip.to.Item"
"2.5 to 517","Range of Values",1888,1888,NA
".","Missing",386,2274,NA
