"BMXWAIST.Code.or.Value","BMXWAIST.Value.Description","BMXWAIST.Count","BMXWAIST.Cumulative","BMXWAIST.Skip.to.Item"
"38.2 to 173.4","Range of Values",8284,8284,NA
".","Missing",998,9282,NA
