"LBDD02LC.Code.or.Value","LBDD02LC.Value.Description","LBDD02LC.Count","LBDD02LC.Cumulative","LBDD02LC.Skip.to.Item"
"0","detectable result",459,459,NA
"1","below detectable limit",1402,1861,NA
".","Missing",424,2285,NA
