"LBXD07.Code.or.Value","LBXD07.Value.Description","LBXD07.Count","LBXD07.Cumulative","LBXD07.Skip.to.Item"
"279.8 to 54609.6","Range of Values",1171,1171,NA
".","Missing",1376,2547,NA
