"PFQ061P.Code.or.Value","PFQ061P.Value.Description","PFQ061P.Count","PFQ061P.Cumulative","PFQ061P.Skip.to.Item"
"1","No difficulty",2060,2060,NA
"2","Some difficulty",344,2404,NA
"3","Much difficulty",76,2480,NA
"4","Unable to do",29,2509,NA
"5","Do not do this activity",2,2511,NA
"7","Refused",1,2512,NA
"9","Don't know",0,2512,NA
".","Missing",5838,8350,NA
