"DS1IFA.Code.or.Value","DS1IFA.Value.Description","DS1IFA.Count","DS1IFA.Cumulative","DS1IFA.Skip.to.Item"
"2 to 12000","Range of Values",1624,1624,NA
".","Missing",4334,5958,NA
