"MCQ240U.Code.or.Value","MCQ240U.Value.Description","MCQ240U.Count","MCQ240U.Cumulative","MCQ240U.Skip.to.Item"
"2 to 79","Range of Values",95,95,NA
"80","80 years or older",5,100,NA
"77777","Refused",0,100,NA
"99999","Don't know",0,100,NA
".","Missing",9566,9666,NA
