"LBDLDL.Code.or.Value","LBDLDL.Value.Description","LBDLDL.Count","LBDLDL.Cumulative","LBDLDL.Skip.to.Item"
"23 to 277","Range of Values",2699,2699,NA
".","Missing",492,3191,NA
