"CVDEXCL5.Code.or.Value","CVDEXCL5.Value.Description","CVDEXCL5.Count","CVDEXCL5.Cumulative","CVDEXCL5.Skip.to.Item"
"1","Yes",97,97,NA
"2","No",776,873,NA
".","Missing",3790,4663,NA
