"OCQ570.Code.or.Value","OCQ570.Value.Description","OCQ570.Count","OCQ570.Cumulative","OCQ570.Skip.to.Item"
"1","Yes",1578,1578,NA
"2","No",3671,5249,NA
"7","Refused",2,5251,NA
"9","Don't know",1,5252,NA
".","Missing",923,6175,NA
