"URDDHDLC.Code.or.Value","URDDHDLC.Value.Description","URDDHDLC.Count","URDDHDLC.Cumulative","URDDHDLC.Skip.to.Item"
"0","At or above detection limit",422,422,NA
"1","Below lower detection limit",2314,2736,NA
".","Missing",95,2831,NA
