"DR1TS040.Code.or.Value","DR1TS040.Value.Description","DR1TS040.Count","DR1TS040.Cumulative","DR1TS040.Skip.to.Item"
"0 to 5.911","Range of Values",8389,8389,NA
".","Missing",949,9338,NA
