"CVDR1HR.Code.or.Value","CVDR1HR.Value.Description","CVDR1HR.Count","CVDR1HR.Cumulative","CVDR1HR.Skip.to.Item"
"43 to 230","Range of Values",3059,3059,NA
".","Missing",2093,5152,NA
