"DR1TCRYP.Code.or.Value","DR1TCRYP.Value.Description","DR1TCRYP.Count","DR1TCRYP.Cumulative","DR1TCRYP.Skip.to.Item"
"0 to 19449","Range of Values",9623,9623,NA
".","Missing",630,10253,NA
