"DSQIIODI.Code.or.Value","DSQIIODI.Value.Description","DSQIIODI.Count","DSQIIODI.Cumulative","DSQIIODI.Skip.to.Item"
"3.75 to 12500","Range of Values",1936,1936,NA
".","Missing",7181,9117,NA
