"RHQ602Q.Code.or.Value","RHQ602Q.Value.Description","RHQ602Q.Count","RHQ602Q.Cumulative","RHQ602Q.Skip.to.Item"
"1 to 5","Range of Values",5,5,NA
"77","Refused",0,5,NA
"99","Don't know",0,5,NA
".","Missing",3293,3298,NA
