"DID310S.Code.or.Value","DID310S.Value.Description","DID310S.Count","DID310S.Cumulative","DID310S.Skip.to.Item"
"80 to 175","Range of Values",336,336,NA
"6666","Provider did not specify goal",308,644,NA
"7777","Refused",2,646,NA
"9999","Don't know",200,846,NA
".","Missing",8729,9575,NA
