"PAXQFD.Code.or.Value","PAXQFD.Value.Description","PAXQFD.Count","PAXQFD.Cumulative","PAXQFD.Skip.to.Item"
"0 to 2880","Range of Values",61168,61168,NA
".","Missing",0,61168,NA
