"LBXSGL.Code.or.Value","LBXSGL.Value.Description","LBXSGL.Count","LBXSGL.Cumulative","LBXSGL.Skip.to.Item"
"42 to 513","Range of Values",6434,6434,NA
".","Missing",546,6980,NA
