"SSII4FC2.Code.or.Value","SSII4FC2.Value.Description","SSII4FC2.Count","SSII4FC2.Cumulative","SSII4FC2.Skip.to.Item"
"0 to 100000","Range of Values",892,892,NA
".","Missing",54,946,NA
