"DS1TCOPP.Code.or.Value","DS1TCOPP.Value.Description","DS1TCOPP.Count","DS1TCOPP.Cumulative","DS1TCOPP.Skip.to.Item"
"0.025 to 6","Range of Values",895,895,NA
".","Missing",8649,9544,NA
