"DR1TM201.Code.or.Value","DR1TM201.Value.Description","DR1TM201.Count","DR1TM201.Cumulative","DR1TM201.Skip.to.Item"
"0 to 3.243","Range of Values",8389,8389,NA
".","Missing",949,9338,NA
