"TYXP139.Code.or.Value","TYXP139.Value.Description","TYXP139.Count","TYXP139.Cumulative","TYXP139.Skip.to.Item"
"-297 to 27","Range of Values",7531,7531,NA
".","Missing",938,8469,NA
