"DX2LABMD.Code.or.Value","DX2LABMD.Value.Description","DX2LABMD.Count","DX2LABMD.Cumulative","DX2LABMD.Skip.to.Item"
"0.558 to 2.146","Range of Values",464,464,NA
".","Missing",21,485,NA
