"LBDSY3.Code.or.Value","LBDSY3.Value.Description","LBDSY3.Count","LBDSY3.Cumulative","LBDSY3.Skip.to.Item"
"0 to 128","Range of Values",63,63,NA
".","Missing",3236,3299,NA
