"LBX4PA.Code.or.Value","LBX4PA.Value.Description","LBX4PA.Count","LBX4PA.Cumulative","LBX4PA.Skip.to.Item"
"0.5 to 12200","Range of Values",8432,8432,NA
".","Missing",1403,9835,NA
