"SLQ300.Code.or.Value","SLQ300.Value.Description","SLQ300.Count","SLQ300.Cumulative","SLQ300.Skip.to.Item"
"Usual sleep time on weekdays or workdays","Value was recorded",6087,6087,NA
"77777","Refused",1,6088,NA
"99999","Don't know",36,6124,NA
"< blank >","Missing",37,6161,NA
