"SPQ090.Code.or.Value","SPQ090.Value.Description","SPQ090.Count","SPQ090.Cumulative","SPQ090.Skip.to.Item"
"1","Yes",5,5,"SPAENA"
"2","No",127,132,""
"7","Refused",0,132,"SPAENA"
"9","Don't know",0,132,"SPAENA"
".","Missing",8063,8195,""
