"DR1IP184.Code.or.Value","DR1IP184.Value.Description","DR1IP184.Count","DR1IP184.Cumulative","DR1IP184.Skip.to.Item"
"0 to 0.472","Range of Values",130285,130285,NA
".","Missing",879,131164,NA
