"AUXR1K2R.Code.or.Value","AUXR1K2R.Value.Description","AUXR1K2R.Count","AUXR1K2R.Cumulative","AUXR1K2R.Skip.to.Item"
"30 to 100","Range of Values",3,3,NA
"666","No response",0,3,NA
"888","Could not obtain",0,3,NA
".","Missing",2043,2046,NA
