"URXUAS5.Code.or.Value","URXUAS5.Value.Description","URXUAS5.Count","URXUAS5.Cumulative","URXUAS5.Skip.to.Item"
"0.71 to 13.2","Range of Values",2588,2588,NA
".","Missing",104,2692,NA
