"LEXRPTS1.Code.or.Value","LEXRPTS1.Value.Description","LEXRPTS1.Count","LEXRPTS1.Cumulative","LEXRPTS1.Skip.to.Item"
"42 to 251","Range of Values",2546,2546,NA
".","Missing",638,3184,NA
