"URXDAZ.Code.or.Value","URXDAZ.Value.Description","URXDAZ.Count","URXDAZ.Cumulative","URXDAZ.Skip.to.Item"
"0.35 to 46000","Range of Values",2553,2553,NA
".","Missing",95,2648,NA
