"CIQP13C.Code.or.Value","CIQP13C.Value.Description","CIQP13C.Count","CIQP13C.Cumulative","CIQP13C.Skip.to.Item"
"1","Yes",47,47,NA
"2","No",61,108,NA
"7","Refused",0,108,NA
"9","Don't know",0,108,NA
".","Missing",742,850,NA
