"URDOP3LC.Code.or.Value","URDOP3LC.Value.Description","URDOP3LC.Count","URDOP3LC.Cumulative","URDOP3LC.Skip.to.Item"
"0","At or above the detection limit",2783,2783,NA
"1","Below lower detection limit",238,3021,NA
".","Missing",184,3205,NA
