"OSQ070.Code.or.Value","OSQ070.Value.Description","OSQ070.Count","OSQ070.Cumulative","OSQ070.Skip.to.Item"
"1","Yes",120,120,NA
"2","No",54,174,NA
"7","Refused",0,174,NA
"9","Don't know",5,179,NA
".","Missing",4701,4880,NA
