"RHD442.Code.or.Value","RHD442.Value.Description","RHD442.Count","RHD442.Cumulative","RHD442.Skip.to.Item"
"1","Yes",202,202,""
"2","No",824,1026,""
"7","Refused",0,1026,"RHQ510"
"9","Don't know",0,1026,"RHQ510"
".","Missing",2719,3745,""
