"OHD31LAS.Code.or.Value","OHD31LAS.Value.Description","OHD31LAS.Count","OHD31LAS.Cumulative","OHD31LAS.Skip.to.Item"
"0 to 12","Range of Values",1309,1309,NA
"99","Calculation cannot be determined",482,1791,NA
".","Missing",4967,6758,NA
