"LBXT3F.Code.or.Value","LBXT3F.Value.Description","LBXT3F.Count","LBXT3F.Cumulative","LBXT3F.Skip.to.Item"
"1.9 to 28.84","Range of Values",2362,2362,NA
".","Missing",182,2544,NA
