"DSQISUGR.Code.or.Value","DSQISUGR.Value.Description","DSQISUGR.Count","DSQISUGR.Cumulative","DSQISUGR.Skip.to.Item"
"0.12 to 196","Range of Values",1402,1402,NA
".","Missing",8157,9559,NA
