"DUQ272.Code.or.Value","DUQ272.Value.Description","DUQ272.Count","DUQ272.Cumulative","DUQ272.Skip.to.Item"
"1","Once",51,51,NA
"2","2-5 times",144,195,NA
"3","6-19 times",112,307,NA
"4","20-49 times",99,406,NA
"5","50-99 times",55,461,NA
"6","100 times or more",112,573,NA
"77","Refused",1,574,NA
"99","Don't know",0,574,NA
".","Missing",4483,5057,NA
