"URXPTU.Code.or.Value","URXPTU.Value.Description","URXPTU.Count","URXPTU.Cumulative","URXPTU.Skip.to.Item"
"0.07 to 2.74","Range of Values",2456,2456,NA
".","Missing",156,2612,NA
