"URDMB2LC.Code.or.Value","URDMB2LC.Value.Description","URDMB2LC.Count","URDMB2LC.Cumulative","URDMB2LC.Skip.to.Item"
"0","At or above the detection limit",623,623,NA
"1","Below lower detection limit",1863,2486,NA
".","Missing",119,2605,NA
