"TYXP148.Code.or.Value","TYXP148.Value.Description","TYXP148.Count","TYXP148.Cumulative","TYXP148.Skip.to.Item"
"-296 to 195","Range of Values",3432,3432,NA
".","Missing",2153,5585,NA
