"DRD350F.Code.or.Value","DRD350F.Value.Description","DRD350F.Count","DRD350F.Cumulative","DRD350F.Skip.to.Item"
"1","Yes",278,278,""
"2","No",3055,3333,"DRD350G"
".","Missing",5949,9282,""
