"DR1TM161.Code.or.Value","DR1TM161.Value.Description","DR1TM161.Count","DR1TM161.Cumulative","DR1TM161.Skip.to.Item"
"0 to 9.439","Range of Values",9169,9169,NA
".","Missing",781,9950,NA
