"OPDSASD.Code.or.Value","OPDSASD.Value.Description","OPDSASD.Count","OPDSASD.Cumulative","OPDSASD.Skip.to.Item"
"0","No",2663,2663,NA
"1","Yes",395,3058,NA
".","Missing",805,3863,NA
