"OSQ140q.Code.or.Value","OSQ140q.Value.Description","OSQ140q.Count","OSQ140q.Cumulative","OSQ140q.Skip.to.Item"
"1 to 35","Range of Values",207,207,NA
"777","Refused",0,207,NA
"999","Don't know",13,220,NA
".","Missing",3595,3815,NA
