"DSQTVK.Code.or.Value","DSQTVK.Value.Description","DSQTVK.Count","DSQTVK.Cumulative","DSQTVK.Skip.to.Item"
"0.7 to 45000","Range of Values",1319,1319,NA
".","Missing",8856,10175,NA
