"URXMB2.Code.or.Value","URXMB2.Value.Description","URXMB2.Count","URXMB2.Cumulative","URXMB2.Skip.to.Item"
"0.495 to 43.2","Range of Values",2240,2240,NA
".","Missing",109,2349,NA
