"WHQ510A.Code.or.Value","WHQ510A.Value.Description","WHQ510A.Count","WHQ510A.Cumulative","WHQ510A.Skip.to.Item"
"10","I want to look better",192,192,NA
"77","Refused",0,192,NA
"99","Don't know",11,203,NA
".","Missing",1626,1829,NA
