"LBX153LA.Code.or.Value","LBX153LA.Value.Description","LBX153LA.Count","LBX153LA.Cumulative","LBX153LA.Skip.to.Item"
"8.8 to 524","Range of Values",1926,1926,NA
".","Missing",348,2274,NA
