"LBDSTBSI.Code.or.Value","LBDSTBSI.Value.Description","LBDSTBSI.Count","LBDSTBSI.Cumulative","LBDSTBSI.Skip.to.Item"
"1.71 to 75.24","Range of Values",6890,6890,NA
".","Missing",555,7445,NA
