"DS1TLZ.Code.or.Value","DS1TLZ.Value.Description","DS1TLZ.Count","DS1TLZ.Cumulative","DS1TLZ.Skip.to.Item"
"37.5 to 150000","Range of Values",563,563,NA
".","Missing",9690,10253,NA
