"WHD100h.Code.or.Value","WHD100h.Value.Description","WHD100h.Count","WHD100h.Cumulative","WHD100h.Skip.to.Item"
"17","Joined a weight loss program such as Weight Watchers, Jenny Craig, Tops, or Overeaters Anonymous",76,76,NA
".","Missing",6558,6634,NA
