"LBXV2C.Code.or.Value","LBXV2C.Value.Description","LBXV2C.Count","LBXV2C.Cumulative","LBXV2C.Skip.to.Item"
"0.0071 to 0.0071","Range of Values",2897,2897,NA
".","Missing",518,3415,NA
