"MCQ260GD.Code.or.Value","MCQ260GD.Value.Description","MCQ260GD.Count","MCQ260GD.Cumulative","MCQ260GD.Skip.to.Item"
"4","Mother's father",52,52,NA
".","Missing",10418,10470,NA
