"URXMIB.Code.or.Value","URXMIB.Value.Description","URXMIB.Count","URXMIB.Cumulative","URXMIB.Skip.to.Item"
"0.14 to 1163.3","Range of Values",2749,2749,NA
".","Missing",70,2819,NA
