"DS2ISFAT.Code.or.Value","DS2ISFAT.Value.Description","DS2ISFAT.Count","DS2ISFAT.Cumulative","DS2ISFAT.Skip.to.Item"
"0.1 to 4.005","Range of Values",221,221,NA
".","Missing",5427,5648,NA
