"HOQ065.Code.or.Value","HOQ065.Value.Description","HOQ065.Count","HOQ065.Cumulative","HOQ065.Skip.to.Item"
"1","Owned or being bought",5333,5333,NA
"2","Rented",4121,9454,NA
"3","Other arrangement",162,9616,NA
"7","Refused",10,9626,NA
"9","Don't know",16,9642,NA
".","Missing",329,9971,NA
