"DS2IIRON.Code.or.Value","DS2IIRON.Value.Description","DS2IIRON.Count","DS2IIRON.Cumulative","DS2IIRON.Skip.to.Item"
"0.02 to 300","Range of Values",742,742,NA
".","Missing",4856,5598,NA
